PSQLBI1V2LUN01	04:27:36	691.63M
SEN3HOST7LUN1	12:01:31	468.92M
SEN3HOST7LUN1	04:02:36	344.68M
SEN3HOST7LUN1	04:02:06	312.34M
AUDITIQPRDLZLUN03	17:57:36	298.82M
AUDITIQPRDLZLUN03	17:37:36	292.24M
AUDITIQPRDLZLUN03	17:27:36	291.23M
SEN3HOST10	02:07:06	287.88M
AUDITIQPRDLZLUN03	17:02:36	287.20M
AUDITIQPRDLZLUN03	17:52:36	286.99M
PSQLGTACT1LUN01	11:41:31	268.48M
SRMPIDBPRDLUN03	20:07:06	248.01M
SRMPIDBPRDLUN03	20:02:36	239.06M
SEN3HOST10	02:02:36	228.09M
SRMAPPRDLZ1LUN03	19:57:36	219.52M
SEN3HOST10	02:02:06	215.67M
SRMPIDBPRDLUN03	20:12:06	215.39M
SRMAPPRDLZ1LUN03	19:47:36	207.98M
PSQLBI1V2LUN01	04:22:06	206.25M
SRMAPPRDLZ1LUN03	19:57:06	203.27M
PPPROPHLUN01	17:12:36	199.50M
SRMAPPRDLZ1LUN03	19:52:36	198.79M
SEN3HOST6LUN1	18:32:06	196.35M
SRMPIDBPRDLUN03	20:07:36	188.79M
SRMAPPRDLZ1LUN03	19:52:06	188.36M
PPPROPHLUN01	17:12:06	185.94M
PDMZCL1LUN2	22:02:06	172.72M
SEN3HOST10	02:07:36	171.25M
PSQLBI1V2LUN01	04:27:06	161.09M
SRMPIDBPRDLUN03	20:12:36	156.71M
PPPROPHLUN01	17:17:06	136.27M
PPPROPHLUN01	17:42:36	136.25M
PPPROPHLUN01	12:07:01	135.65M
SEN3HOST6LUN1	18:02:06	131.44M
PSQLBI1V2LUN03	10:06:31	128.08M
PSQLBI1V2LUN03	09:22:01	122.10M
PSQLBI1V2LUN03	07:16:31	121.85M
PSQLBI1V2LUN01	04:32:36	115.97M
PSQLBI1V2LUN03	10:01:31	112.14M
PSQLGDKF1LUN03	11:07:01	111.15M
PSQLBI1V2LUN03	09:57:01	108.55M
SEN3HOST7LUN1	02:02:06	98.16M
SEN3HOST6LUN1	19:17:06	96.97M
PSQLBI1V2LUN01	15:32:36	95.90M
SEN3HOST7LUN1	02:07:36	91.22M
PSQLGDKF1LUN03	11:06:31	89.47M
TGSANDAMLLS1LUN01	10:22:01	88.16M
PSQLGTACT1LUN02	11:56:31	80.90M
SEN3HOST11	19:02:06	77.69M
PSQLGTACT1LUN01	11:56:31	76.34M
WLSCDEVLUN05	05:17:36	73.93M
WLSCDEVLUN06	05:17:36	73.35M
PSQLGTACT1LUN02	11:51:31	72.29M
SEN3HOST11	02:02:06	71.74M
PSQLGTACT1LUN01	11:51:31	70.25M
WLSCDEVLUN05	05:22:36	70.05M
WLSCDEVLUN06	05:22:36	69.45M
WLSCDEVLUN05	00:32:36	68.52M
SEN3HOST10	02:12:06	67.19M
SEN3HOST3LUN01	11:51:31	66.61M
PSQLGTACT1LUN02	11:46:31	65.84M
WLSCDEVLUN06	00:32:36	65.49M
WLSCDEVLUN06	23:47:36	64.66M
PSQLGTACT1LUN01	11:46:31	64.06M
WLSCDEVLUN05	00:52:36	63.96M
WLSCDEVLUN06	00:52:36	63.91M
WLSCDEVLUN05	20:27:36	63.35M
PSQLBI1V2LUN02	05:32:36	62.16M
TSQLGIANT3LUN01	21:57:36	61.08M
PSQLGTACT1LUN02	11:52:01	55.60M
SGRCPRDGLUN03	20:27:36	55.52M
TSQLGIANT3LUN01	21:42:36	55.23M
TSQLGIANT3LUN01	21:42:06	54.52M
SGRCPRDGLUN03	20:27:06	54.42M
PSQLGTACT1LUN01	11:52:01	53.88M
SGRCPRDGLUN03	20:22:36	53.52M
TSQLGIANT3LUN01	22:27:36	50.55M
TSQLGIANT3LUN01	22:02:06	49.59M
